"Length"	"Frequency"	"Predict"
1	15038	15026.4061497541
2	3978	4031.27258256828
3	944	918.819238509432
4	331	288.730887692843
5	100	115.068371546546
6	62	53.9137631556867
7	27	28.3314839243987
8	7	16.2089973681222
9	8	9.89960902798938
10	11	6.36712527497893
11	5	4.27053905045276
12	1	2.96539859527354
