"Length"	"Frequency"	"Predict"
1	62764	62554.694094818
2	12929	14125.0534589008
3	4777	3684.6766017498
4	1549	1321.24541045487
5	614	586.293706478302
6	236	300.162245641356
7	113	170.026714138436
8	58	103.804802936906
9	30	67.1335284936493
10	14	45.4444335451906
11	14	31.9226826725447
12	6	23.1215908720095
13	1	17.1837640951693
