"Length"	"Frequency"	"Predict"
1	6561691	6625648.06542399
2	6709584	6442519.07053049
3	2509858	2865687.41065439
4	1066294	1174982.9263174
5	745294	532215.7089616
6	332077	268968.502023023
7	181129	148870.853399304
8	130582	88582.0351955023
9	50530	55842.3046740948
10	30263	36887.2803796725
14	30190	9741.83639786565
