Length	Percent	Count	TotalCount
1	0.6221	7949	12778
2	0.2835	3623	12778
3	0.06425	821	12778
4	0.01753	224	12778
5	0.006183	79	12778
6	0.003522	45	12778
7	0.001096	14	12778
8	3.13E-4	4	12778
9	5.478E-4	7	12778
10	7.826E-5	1	12778
11	3.13E-4	4	12778
12	7.826E-5	1	12778
13	1.565E-4	2	12778
15	7.826E-5	1	12778
18	7.826E-5	1	12778
19	7.826E-5	1	12778
34	7.826E-5	1	12778
