Length	Percent	Count	TotalCount
1	0.5009	10571530	21105675
2	0.3301	6966888	21105675
3	0.06497	1371206	21105675
4	0.03244	684590	21105675
5	0.031	654222	21105675
6	0.01672	352877	21105675
7	0.007169	151315	21105675
8	0.007176	151446	21105675
9	0.002388	50408	21105675
11	0.007164	151193	21105675
