Length	Percent	Count	TotalCount
1	0.5635	7859	13947
2	0.2135	2977	13947
3	0.133	1855	13947
4	0.04008	559	13947
5	0.02703	377	13947
6	0.01054	147	13947
7	0.004947	69	13947
8	0.00294	41	13947
9	0.001577	22	13947
10	9.321E-4	13	13947
11	7.17E-4	10	13947
12	5.736E-4	8	13947
13	2.868E-4	4	13947
14	2.868E-4	4	13947
20	7.17E-5	1	13947
27	7.17E-5	1	13947
