Length	Percent	Count	TotalCount
1	0.3576	6561691	18347492
2	0.3657	6709584	18347492
3	0.1368	2509858	18347492
4	0.05812	1066294	18347492
5	0.04062	745294	18347492
6	0.0181	332077	18347492
7	0.009872	181129	18347492
8	0.007117	130582	18347492
9	0.002754	50530	18347492
10	0.001649	30263	18347492
14	0.001645	30190	18347492
